Code,City,Country,AIRPORT
11555,Kenai,AK,Kenai Municipal
11556,Nancy,France,Nancy Essey
11557,Enid,OK,Vance AFB
11558,Centralia,IL,Centralia Municipal
11559,Nenana,AK,Nenana Municipal
11560,Comayagua,Honduras,Coronel Enrique Soto Cano AB
11561,Enschede,Netherlands,Twente
11562,Enugu,Nigeria,Akanu Ibiam International
11563,Wendover,UT,Wendover
11564,Kenosha,WI,Kenosha Regional
11565,Medellin,Colombia,Olaya Herrera
11566,Keokuk,IA,Keokuk Municipal
11567,Ephrata/Moses Lake,WA,Ephrata Municipal
11569,Epinal,France,Epinal Mirecourt
11570,Epena,Congo (Brazaville),Epena
11571,Esperance,Australia,Esperance
11572,Esquel,Argentina,Esquel
11573,Erigavo,Somalia,Erigavo
11574,Erzincan,Turkey,Erzincan
11575,Berdyansk,Ukraine,Berdyansk
11576,Erfurt,Germany,Erfurt Weimar
11577,Erie,PA,Erie International/Tom Ridge Field
11578,Erechim,Brazil,Erechim
11579,Eirunepe,Brazil,Eirunepe
11580,Windhoek,Namibia,Eros
11581,Erdenet,Mongolia,Erdenet
11582,Kerrville,TX,Kerrville Municipal/Louis Schreiner Field
11583,Erzurum,Turkey,Erzurum
11584,Madrid,Spain,Getafe
11585,Esa'ala,Papua New Guinea,Esa'ala
11586,Ankara,Turkey,Esenboga
11587,Escanaba,MI,Delta County
11588,Eastsound,WA,Orcas Island
11589,Ensenada,Mexico,General Alberto L Salinas Carranza
11590,Alexandria,LA,Esler Regional
11591,Esmeraldas,Ecuador,Coronel Carlos Concha Torres
11592,Easton,MD,Easton/Newnam Field
11593,Stroudsburg,PA,Stroudsburg Pocono
11594,El Salvador,Chile,Ricardo Garcia Posada
11595,Essen,Germany,Essen Muelheim
11596,Eilat,Israel,Eilat
11597,Eastland,TX,Eastland Municipal
11598,Enterprise,AL,Enterprise Municipal
11599,Metz/Nancy,France,Metz Nancy Lorraine
11600,Eua,Tonga,Eua
11601,Eureka,NV,Eureka
11602,Eufaula,AL,Weedon Field
11603,Eugene,OR,Mahlon Sweet Field
11604,Laayoune,Morocco,Hassan I International
11605,St. Eustatius,Bonaire Sint Eustatius and Saba,F.D. Roosevelt
11606,Eva Creek,AK,Eva Creek
11607,Evenes,Norway,Evenes
11608,Sveg,Sweden,Sveg
11609,Eveleth,MN,Eveleth Virginia Municipal
11610,Yerevan,Armenia,Zvartnots
11612,Evansville,IN,Evansville Regional
11613,Evanston,WY,Evanston-Uinta County Burns Field
11614,Evreux,France,Evreux Fauville
11615,New Bedford/Fall River,MA,New Bedford Regional
11616,Newton,KS,Newton City County
11617,New Bern/Morehead/Beaufort,NC,Coastal Carolina Regional
11618,Newark,NJ,Newark Liberty International
11619,Excursion Inlet,AK,Excursion Inlet Seaplane Base
11620,Exeter,United Kingdom,Exeter
11621,George Town,The Bahamas,George Town
11622,Yelimane,Mali,Yelimane
11623,El Yopal,Colombia,El Yopal
11624,Key West,FL,Key West International
11625,Ezeiza,Argentina,Ministro Pistarini
11626,Elazig,Turkey,Elazig
11627,Murrieta/Temecula,CA,French Valley
11628,Farnborough,United Kingdom,Farnborough
11629,Sorvagur,Denmark,Vagar
11630,Fairbanks,AK,Fairbanks International
11631,Fajardo,PR,Diego Jimenez Torres
11632,False Island,AK,False Island
11633,Roma,TX,Falcon State Park
11634,Farmington,MO,Farmington Regional
11635,Farsund,Norway,Lista
11636,Faro,Portugal,Faro
11637,Fargo,ND,Hector International
11638,Fresno,CA,Fresno Yosemite International
11639,Fairmount Island,AK,Fairmount Island
11640,Fakarava,French Polynesia,Fakarava
11641,Fayetteville,NC,Fayetteville Regional/Grannis Field
11642,Fort Bragg,NC,Simmons AAF
11643,Fairbanks,AK,Ladd AAF
11644,Lubumbashi,Congo (Kinshasa),Lubumbashi International
11645,Fort Bridger,WY,Fort Bridger
11646,Friday Harbor,WA,Friday Harbor Seaplane Base
11647,Oslo,Norway,Fornebu
11648,Kalispell,MT,Glacier Park International
11649,Fresno,CA,Fresno Chandler Executive
11650,Minneapolis,MN,Flying Cloud
11651,Rome,Italy,Fiumicino
11652,Colorado Springs,CO,Butts AAF
11653,Forde,Norway,Forde
11654,Fort de France,Martinique,Martinique Aime Cesaire
11655,Friedrichshafen,Germany,Friedrichshafen
11656,Frederick,MD,Frederick Municipal
11657,Frederick,OK,Frederick Regional
11658,Bandundu,Congo (Kinshasa),Bandundu
11659,Findlay,OH,Findlay
11660,Fergana,Uzbekistan,Fergana
11661,Fernando de Noronha,Brazil,Fernando de Noronha
11662,Freeport,IL,Albertus
11663,Fremont,NE,Fremont Municipal
11664,Cheyenne,WY,Francis E. Warren AFB Heliport
11665,Fez,Morocco,Saiss International
11666,Fairford,United Kingdom,RAF Fairford
11667,Fergus Falls,MN,Fergus Falls Municipal-Einar Mickelson Field
11668,Dayton,OH,Wright-Patterson AFB
11669,Frankfort,KY,Capital City
11670,Fderik,Mauritania,Fderik
11671,Apia,Samoa,Fagali I
11673,Fort Huachuca,AZ,Sierra Vista Municipal-Libby AAF
11674,Fire Cove,AK,Fire Cove
11675,Fishers Island,NY,Elizabeth Field
11676,Kinshasa,Congo (Kinshasa),N'Djili International
11677,Fillmore,UT,Fillmore Municipal
11678,Finschhafen,Papua New Guinea,Finschhafen
11679,Fitzroy Crossing,Australia,Fitzroy Crossing
11680,Al-Fujairah,United Arab Emirates,Fujairah International
11681,Karlsruhe/Baden-Baden,Germany,Karlsruhe/Baden-Baden
11682,Kisangani,Congo (Kinshasa),Bangoka International
11683,Fukui,Japan,Fukui
11684,Franklin/Oil City,PA,Venango Regional
11685,Fukushima,Japan,Fukushima
11686,Zephyrhills,FL,Zephyrhills Municipal
11687,Valkaria,FL,Valkaria
11688,Chipley,FL,Vosikas
11689,Bunnell,FL,Flagler Executive
11690,Williston,FL,Williston Municipal
11691,Florencia,Colombia,Gustavo Artunduaga Paredes
11692,Floriano,Brazil,Floriano
11693,Fond Du Lac,WI,Fond Du Lac County
11694,Flensburg,Germany,Flensburg Schaeferhaus
11695,Flagstaff,AZ,Flagstaff Pulliam
11696,Falls Bay,AK,Falls Bay
11697,Fort Lauderdale,FL,Fort Lauderdale-Hollywood International
11698,Florianopolis,Brazil,Hercilio Luz International
11699,Florence,SC,Florence Regional
11700,Florence,Italy,Firenze
11701,Flinders Island,Australia,Flinders Island
11702,Flat,AK,Flat
11703,New York,NY,Flushing
11704,Leavenworth,KS,Sherman AAF
11705,Santa Cruz das Flores,Portugal,Flores
11706,Fallon,NV,Fallon Municipal
11707,Formosa,Argentina,Formosa
11708,Five Mile Camp,AK,Five Mile Camp
11709,Falmouth,MA,Cape Cod CGAS
11710,Kalemie,Congo (Kinshasa),Kalemie
11711,Farmington,NM,Four Corners Regional
11712,Greven,Germany,Muenster Osnabrueck
11713,Fort Madison,IA,Fort Madison Municipal
11714,Fort Myers,FL,Page Field
11715,Freetown,Sierra Leone,Freetown Lungi
11716,Funchal,Portugal,Madeira
11717,Nimes,France,Nimes Garons
11718,Pyongyang,North Korea,Pyongyang International
11719,Fort Collins/Loveland,CO,Northern Colorado Regional
11720,Funter Bay Alaska,AK,Funter Bay
11721,Flint,MI,Bishop International
11723,Fort Bragg,CA,Fort Bragg
11724,Fuzhou,China,Changle
11725,Fort Dodge,IA,Fort Dodge Regional
11726,Topeka,KS,Topeka Regional
11727,Foggia,Italy,Foggia
11728,Westhampton,NY,Francis S. Gabreski
11730,Fortaleza,Brazil,Pinto Martins International
11731,Freeport,The Bahamas,Grand Bahama International
11732,Fort Pierce,FL,Treasure Coast International
11733,Perry,FL,Perry-Foley
11734,Patching Lake,AK,Patching Lake
11735,Ventura,CA,San Nicolas Island NOLF
11736,Kodiak,AK,Lilly Lake
11737,Katmai National Park,AK,Trident Volcano
11738,Annex Creek,AK,Annex Creek
11739,Davidson Creek,AK,Davidson Creek
11740,Snettisham,AK,Snettisham
11741,Fire Island,AK,Fire Island
11742,Scott,KY,Georgetown Scott County Regional
11743,Greens Creek,AK,Greens Creek
11744,Gull Cove,AK,Gull Cove
11745,Flora,IL,Flora Municipal
11747,Karta Lake,AK,Karta Lake
11748,Manzanita Lake,AK,Manzanita Lake
11749,Shrimp Bay,AK,Shrimp Bay
11750,Dry Bay,AK,Dry Bay
11751,Josephine Lake,AK,Josephine Lake
11754,Libby,MT,Libby
11755,Volcano Bay,AK,Volcano Bay
11756,Fort Glenn,AK,Fort Glenn
11757,Babe Islands,AK,Babe Islands
11758,Kahli Cove,AK,Kahli Cove
11760,Frankfurt,Germany,Frankfurt Main
11761,Franca,Brazil,Tenente Lund Pressoto
11762,Friday Harbor,WA,Friday Harbor
11763,Frankfurt,Germany,Rhein Main AFB
11764,East Farmingdale,NY,Republic
11765,Forli,Italy,Forli
11766,Fairmont,MN,Fairmont Municipal
11767,Floro,Norway,Floro
11768,Fresh Water Bay,AK,Fresh Water Bay
11769,Front Royal,VA,Front Royal-Warren County
11770,Flores,Guatemala,Flores
11771,Bishkek,Kyrgyzstan,Manas
11772,Francistown,Botswana,Francistown
11773,Fryeburg,ME,Eastern Slopes Regional
11774,Figari,France,Figari Sud Corse
11775,Sioux Falls,SD,Joe Foss Field
11776,Fort Sill,OK,Henry Post AAF
11777,Fort Scott,KS,Fort Scott Municipal
11778,Fort Smith,AR,Fort Smith Regional
11779,St. Pierre,Saint Pierre and Miquelon,Saint Pierre
11780,Ft. Stockton,TX,Fort Stockton Pecos County
11781,Shizuoka,Japan,Shizuoka
11782,Fort Collins,CO,Fort Collins Airpark
11783,El Calafate,Argentina,El Calafate
11784,Denver,CO,Front Range
11785,Fort Knox,KY,Godman AAF
11786,Fortuna Ledge,AK,Fortuna Ledge
11787,Fort Dauphin,Madagascar,Marillac
11788,Masvingo,Zimbabwe,Masvingo International
11789,Dallas/Fort Worth,TX,Fort Worth Meacham International
11790,Atlanta,GA,Fulton County-Brown Field
11791,Fuerteventura,Spain,Fuerteventura
11792,Fukue,Japan,Fukue
11793,Fukuoka,Japan,Fukuoka
11794,Fullerton,CA,Fullerton Municipal
11795,Funafuti,Tuvalu,Funafuti International
11796,Futuna Island,Wallis and Futuna,Futuna Pointe Vele
11797,Osprey Lodge,AK,Osprey Lodge
11798,Baledogle,Somalia,Baledogle
11799,Baikonour,Kazakhstan,Baikonour
11800,Sonora,TX,Sonora Municipal
11801,Fallbrook,CA,Fallbrook Community Airpark
11802,Dadaab,Kenya,Hagadera
11803,Wickenburg,AZ,Wickenburg Municipal
11804,Othello,WA,Othello Municipal
11805,Lake Providence,LA,Byerley
11806,Amberley,Australia,Amberley
11810,Culbertson,MT,Big Sky Field
11811,Aurora,OR,Aurora State
11812,Quincy,CA,Gansner Field
11813,Donlin Creek Mine,AK,Donlin Creek Mine
11814,Three Forks,MT,Three Forks
11815,Rexburg,ID,Rexburg-Madison County
11816,Latacunga,Ecuador,Latacunga
11817,Las Palmas,Peru,Las Palmas
11818,Kernville,CA,Kern Valley
11819,Golden Creek Mine,AK,Golden Creek Mine
11820,Grace Harbor,AK,Grace Harbor
11821,Unuk River,AK,Unuk River
11822,Deadhorse,AK,Inigok
11823,Fort Wayne,IN,Fort Wayne International
11824,Fort Worth,TX,Fort Worth NAS JRB/Carswell Field
11825,Farewell,AK,Farewell
11826,Fort Worth,TX,Fort Worth Spinks
11827,Fort Lauderdale,FL,Fort Lauderdale Executive
11828,Kaktovik,AK,Bullen Point AFS
11829,Nova Freixo,Mozambique,Nova Freixo
11830,Clinton,IN,Frankfort Municipal
11831,Forest City,IA,Forest City Municipal
11832,Faya-Largeau,Chad,Faya-Largeau
11833,Fort Yukon,AK,Fort Yukon
11834,Fayetteville,AR,Drake Field
11835,Filton,United Kingdom,Bristol Filton
11836,Lafayette,GA,Barwick Lafayette
11837,Carrollton,GA,West Georgia Regional - O V Gray Field
11838,Atlanta,GA,Newnan Coweta County
11839,Gracias,Honduras,Gracias
11840,Gadsden,AL,Northeast Alabama Regional
11841,Gabes,Tunisia,Matmata Northeast
11842,Gaithersburg,MD,Montgomery County Airpark
11843,Yamagata,Japan,Yamagata
11844,Galena,AK,Edward G. Pitka Sr.
11845,Gambell,AK,Gambell
11846,Gan Island,Maldives,Gan Island
11847,Guantanamo,Cuba,Los Canos
11848,Gao,Mali,Gao
11849,Garaina,Papua New Guinea,Garaina
11850,Gap,France,Gap Tallard
11851,Guwahati,India,Guwahati International
11852,Gangaw,Burma,Gangaw
11853,Gaya,India,Gaya
11854,Suffolk,United Kingdom,Wattisham
11855,Goose Bay,AK,Goose Bay AAF
11856,Great Bend,KS,Great Bend Municipal
11857,Gaborone,Botswana,Sir Seretse Khama International
11858,Galesburg,IL,Galesburg Municipal
11859,Galbraith Lake,AK,Galbraith Lake
11860,Marie Galante,Guadeloupe,Marie Galante
11861,Gbangbatok,Sierra Leone,Gbangbatok
11862,Great Barrington,MA,Walter J. Koladza
11863,Khashm El Girba,Sudan,Khashm El Girba
11864,Guacamayas,Colombia,Guacamayas
11865,Gillette,WY,Gillette Campbell County
11866,Guernsey,United Kingdom,Guernsey
11867,Garden City,KS,Garden City Regional
11868,Grand Cayman,Cayman Islands,Owen Roberts International
11869,Grand Canyon,AZ,Grand Canyon National Park
11870,Greeneville,TN,Municipal
11871,Greenville,SC,Donaldson Field
11872,Gode,Ethiopia,Gode
11873,Golden Horn Lodge,AK,Golden Horn Lodge Seaplane Base
11874,Guadalajara,Mexico,Miguel Hidalgo Y Costilla International
11875,Gardner,MA,Gardner Municipal
11876,Gdansk,Poland,Gdansk Lech Walesa
11877,Gondar,Ethiopia,Gonder Atse Tewodros
11878,Grand Turk,Turks and Caicos Islands,JAGS McCartney International
11879,Glendive,MT,Dawson Community
11880,Gladwin,MI,Gladwin Zettel Memorial
11881,Magadan,Russia,Magadan
11882,Noumea,New Caledonia,Noumea Magenta
11883,Georgetown,DE,Delaware Coastal
11884,Spokane,WA,Spokane International
11885,Ganes Creek,AK,Ganes Creek
11886,Santo Angelo,Brazil,Santo Angelo
11887,Oslo,Norway,Gardermoen
11888,Georgetown,Guyana,Cheddi Jagan International
11889,Nueva Gerona,Cuba,Rafael Cabrera
11890,General Santos,Philippines,General Santos
11891,Geraldton,Australia,Geraldton
11892,Gallivare,Sweden,Gallivare
11893,Greybull,WY,South Big Horn County
11894,Shelbyville,IN,Shelbyville Municipal
11895,Great Falls,MT,Malmstrom AFB Heliport
11896,Togiak Fish,AK,Togiak Fish
11897,Griffith,Australia,Griffith
11898,Grand Forks,ND,Grand Forks International
11899,Glens Falls,NY,Floyd Bennett Memorial
11900,Grafton,Australia,Grafton
11901,Bartica,Guyana,Bartica
11902,Granville,France,Granville Mont Saint Michel
11903,Grootfontein,Namibia,Grootfontein
11904,Georgetown,SC,Georgetown County
11905,Longview,TX,East Texas Regional
11906,Gagnoa,Cote d'Ivoire,Gagnoa
11907,Moss Town,The Bahamas,Exuma International
11908,Glasgow,MT,Wokal Field/Glasgow International
11909,Ghardaia,Algeria,Noumerat Moufdi Zakaria
11910,Governors Harbour,The Bahamas,Governors Harbour
11911,Great Harbour Cay,The Bahamas,Great Harbour Cay
11912,Ghat,Libya,Ghat
11913,Gualeguaychu,Argentina,Gualeguaychu
11914,Gibraltar,Gibraltar,Gibraltar
11915,Rio de Janeiro,Brazil,Galeao Antonio Carlos Jobim International
11916,Gilgit,Pakistan,Gilgit
11917,Gisborne,New Zealand,Gisborne
11918,Gizan,Saudi Arabia,Gizan Saudia Arabia
11919,Guanaja Island,Honduras,Guanaja
11920,Guajara-Mirim,Brazil,Guajara Mirim
11921,Grand Junction,CO,Grand Junction Regional
11922,Goroka,Papua New Guinea,Goroka
11923,Great Keppel Island,Australia,Bonnie Doon
11924,Gulkana,AK,Gulkana
11926,Station Nord,Greenland,Station Nord
11927,Hyde Fjord,Greenland,Hyde Fjord Ice Strip
11928,Glasgow,United Kingdom,Glasgow
11929,Goodland,KS,Renner Field
11930,Golfito,Costa Rica,Golfito
11931,Greenville,MS,Greenville Mid Delta
11932,Glen Innes,Australia,Glen Innes
11933,Galcaio,Somalia,Gaalkacyo
11934,Glenormiston,Australia,Glenormiston
11935,Goulimime,Morocco,Goulimime
11936,Gloucester/Cheltenham,United Kingdom,Gloucestershire
11937,Glennallen,AK,Glennallen
11938,Gaylord,MI,Gaylord Regional
11939,Galveston,TX,Scholes International at Galveston
11940,Gladstone,Australia,Gladstone
11941,Golovin,AK,Golovin
11942,Glasgow,KY,Glasgow Municipal
11943,Gemena,Congo (Kinshasa),Gemena
11944,Guerima,Colombia,Guerima
11945,Seoul,South Korea,Gimpo International
11946,Granite Mountain,AK,Granite Mountain AS
11947,Greenville,SC,Greenville Downtown
11948,Hrodna,Belarus,Hrodna
11949,Grenoble,France,Grenoble Isere
11950,Grenada,Grenada,Maurice Bishop International
11951,General Roca,Argentina,General Roca
11952,Goodnews Bay,AK,Goodnews
11953,Gainesville,FL,Gainesville Regional
11954,Genoa,Italy,Genova/Sestri
11955,Goba,Ethiopia,Goba
11956,Nuuk,Greenland,Nuuk
11957,Goa,India,Goa
11958,Nizhniy Novgorod,Russia,Nizhny Novgorod
11959,Gold Beach,OR,Gold Beach Municipal
11960,Goma,Congo (Kinshasa),Goma
11961,New London/Groton,CT,Groton-New London
11962,Goondiwindi,Australia,Goondiwindi
11963,Gorakhpur,India,Gorakhpur
11964,Gore,Ethiopia,Gore
11965,Gosford,Australia,Gosford
11966,Gothenburg,Sweden,Landvetter
11967,Garoua,Cameroon,Garoua
11968,Gove,Australia,Gove
11969,Gorna Oryahovitsa,Bulgaria,Gorna Oryahovitsa
11970,Guapi,Colombia,Guapi
11971,Grand Prairie,TX,Grand Prairie Municipal
11972,Galapagos Islands,Ecuador,Baltra
11973,Gulfport/Biloxi,MS,Gulfport-Biloxi International
11974,Grand Rapids,MN,Grand Rapids/Itasca County-Gordon Newstrom Field
11975,Galion,OH,Horning
11976,Gamarra,Colombia,Germania
11977,Green Bay,WI,Green Bay Austin Straubel International
11978,Greenwood,SC,Greenwood County
11979,Tacoma,WA,Gray AAF
11980,Grand Island,NE,Central Nebraska Regional
11981,George,South Africa,George
11982,Killeen,TX,Robert Gray AAF
11983,Gerona,Spain,Gerona Costa Brava
11984,Gurupi,Brazil,Gurupi
11985,Groningen,Netherlands,Eelde
11986,Grand Rapids,MI,Gerald R. Ford International
11987,Grosseto,Italy,Grosseto
11988,Sao Paulo,Brazil,Guarulhos Gov Andre Franco Montoro
11989,Graciosa Island,Portugal,Graciosa Island
11990,Granada,Spain,Granada
11991,Graz,Austria,Graz
11992,Goldsboro,NC,Seymour Johnson AFB
11993,Gothenburg,Sweden,Gothenburg City
11994,Goshen,IN,Goshen Municipal
11995,Greensboro/High Point,NC,Piedmont Triad International
11996,Greer,SC,Greenville-Spartanburg International
11997,Gustavus,AK,Gustavus
11999,Dallas/Fort Worth,TX,Greater Southwest International
12000,San Jose,Guatemala,San Jose
12001,Genting,Malaysia,Genting
12002,Groote Island,Australia,Groote Eylandt
12003,Great Falls,MT,Great Falls International
12004,Sungei Tekai,Malaysia,Sungei Tekai
12005,Mount Cook,New Zealand,Glentanner
12006,Gorontalo,Indonesia,Djalaluddin
12007,Columbus,MS,Golden Triangle Regional
12008,Georgetown,TX,Georgetown Municipal
12009,Zlin,Czech Republic,Holesov
12010,Guatemala City,Guatemala,La Aurora International
12011,Guerrero Negro,Mexico,Guerrero Negro
12012,Gunnison,CO,Gunnison-Crested Butte Regional
12013,Goundam,Mali,Goundam
12014,Gunnedah,Australia,Gunnedah
12015,Guiria,Venezuela,Almirante Cristobal Colon
12016,Guam,TT,Guam International
12017,Gualaco,Honduras,Jicalapa
12018,Gallup,NM,Gallup Municipal
12019,Guanare,Venezuela,Guanare
12020,Alotau,Papua New Guinea,Gurney
12021,Peru,IN,Grissom ARB
12022,Gutersloh,Germany,Gutersloh
12023,Atyrau,Kazakhstan,Atyrau
12024,Guymon,OK,Guymon Municipal
12025,Guiratinga,Brazil,Guiratinga
12026,Geneva,Switzerland,Geneva
12027,Gordonville,VA,Gordonsville Municipal
12028,Gainesville,GA,Lee Gilmer Memorial
12029,Batavia,NY,Genesee County
12030,Governador Valadares,Brazil,Governador Valadares
12031,Greenville,TX,Majors
12032,Grandview,MO,Richards/Gebaur AFB
12033,Gavle,Sweden,Gavle
12034,Gwadar,Pakistan,Gwadar International
12035,Gweru,Zimbabwe,Gweru Thornhill
12038,Gwalior,India,Gwalior
12039,Greenwood,MS,Greenwood/Leflore
12040,Gwinner,ND,Gwinner-Roger Melroe Field
12041,Glenwood Springs,CO,Glenwood Springs Municipal
12042,Westerland-Sylt,Germany,Sylt
12044,Galway,Ireland,Carnmore
12045,Sayun,Yemen,Sayun International
12046,Mildenhall,United Kingdom,Mildenhall NAF
12047,Coyhaique,Chile,Teniente Vidal
12048,Yagoua,Cameroon,Yagoua Ville
12049,Guayaramerin,Bolivia,Guayaramerin
12050,Baku,Azerbaijan,Baku Metropolitan Area
12051,Guayaquil,Ecuador,Jose Joaquin de Olmedo International
12052,Guaymas,Mexico,General Jose Maria Yanez International
12053,Goiania,Brazil,Santa Genoveva
12054,Goodyear,AZ,Phoenix Goodyear
12055,Gary,IN,Gary/Chicago International
12056,Gizo,Solomon Islands,Gizo
12057,Gaziantep,Turkey,Gaziantep
12058,Hamilton,AL,Marion County
12059,Hachijo Jima Island,Japan,Hachijo Jima Island
12060,Halmstad,Sweden,Halmstad
12061,Havasupai,AZ,Havasupai
12062,Half Moon Bay,CA,Half Moon Bay
12063,Moroni,Comoros,Prince Said Ibrahim
12064,Hannover,Germany,Hannover
12065,Haikou,China,Meilan
12066,Hamburg,Germany,Hamburg
12067,Hanoi,Vietnam,Noibai International
12068,Hamilton,OH,Butler County Regional Hogan Field
12069,Long Island,Australia,Long Island
12070,Harrisburg,PA,Capital City
12071,Hail,Saudi Arabia,Hail
12072,Haugesund,Norway,Karmoy
12073,Havana,Cuba,Jose Marti International
12074,Haycock,AK,Haycock
12075,Hobart,Australia,Hobart
12076,Hanus Bay,AK,Hanus Bay
12077,Alexandria,Egypt,Borg El Arab
12078,Hattiesburg,MS,Hattiesburg Bobby L. Chain Municipal
12079,Hobart Bay,AK,Hobart Bay
12080,Harbour Island,The Bahamas,Harbour Island
12081,Babelegi,South Africa,Babelegi Heliport
12082,Hafr Al Batin,Saudi Arabia,Al Batin
12083,Hebbronville,TX,Jim Hogg County
12084,Hood Bay,AK,Hood Bay
12085,Big Spring,TX,Howard County
12086,Shoal Cove,AK,Shoal Cove
12087,Holy Cross,AK,Holy Cross
12088,Hidden Falls,AK,Hidden Falls
12089,Heidelberg,Germany,Heidelberg AHP
12090,Hyderabad,Pakistan,Hyderabad
12091,Heringsdorf,Germany,Heringsdorf
12092,Mokuleia,HI,Dillingham
12093,Hamadan,Iran,Hamadan
12094,Hayden,CO,Yampa Valley
12095,Hoedspruit,South Africa,Hoedspruit
12096,Hat Yai,Thailand,Hat Yai International
12097,Herat,Afghanistan,Herat
12098,Herendeen,AK,Herendeen Bay
12099,Heho,Burma,Heho
12100,Heide/Busum,Germany,Heide Buesum
12101,Helsinki,Finland,Helsinki Vantaa
12102,Heraklion,Greece,Nikos Kazantzakis
12103,Hermiston,OR,Hermiston Municipal
12104,Hohhot,China,Baita
12105,Santo Domingo,Dominican Republic,Herrera International
12106,Natchez,MS,Hardy-Anders Field Natchez-Adams County
12107,Haifa,Israel,Haifa
12108,Hartford,CT,Hartford Brainard
12109,Hefei,China,Luogang
12110,Hoffman,NC,Mackall AAF
12111,Hofn,Iceland,Hornafjordur
12112,Hammerfest,Norway,Hammerfest
12113,Hargeisa,Somalia,Egal International
12114,Hughenden,Australia,Hughenden
12115,Hangzhou,China,Xiaoshan
12116,Dune,Germany,Helgoland Duene
12117,Mae Hong Son,Thailand,Mae Hong Son
12118,Korhogo,Cote d'Ivoire,Korhogo
12119,Hagerstown,MD,Hagerstown Regional-Richard A. Henson Field
12120,Freetown,Sierra Leone,Hastings
12121,Mount Hagen,Papua New Guinea,Mount Hagen
12122,Hogatza,AK,Hogatza
12123,Hachinohe,Japan,Hachinohe
12124,Hilton Head,SC,Hilton Head
12125,Hahn,Germany,Frankfurt Hahn
12126,Hong Kong,Hong Kong,Kai Tak Heliport
12127,Hawthorne,CA,Jack Northrop Field/Hawthorne Municipal
12128,Hiawatha,KS,Hiawatha Municipal
12129,Hibbing,MN,Range Regional
12130,Whitefield,NH,Mount Washington Regional
12131,Ogden,UT,Hill AFB
12132,Lake Havasu City,AZ,Lake Havasu City
12133,Hiroshima,Japan,Hiroshima
12134,Honolulu,HI,Daniel K Inouye International
12135,Jinju,South Korea,Sacheon AB
12136,Hillsboro,OR,Portland Hillsboro
12137,Honiara,Solomon Islands,Honiara International
12138,Hayman Island,Australia,Hayman Island
12139,Khajuraho,India,Khajuraho
12140,Blytheville,AR,Blytheville Municipal
12141,Healy,AK,Healy River
12142,Hakodate,Japan,Hakodate
12143,Hong Kong,Hong Kong,Hong Kong International
12144,Hokitika,New Zealand,Hokitika
12145,Hoskins,Papua New Guinea,Hoskins
12146,Kaanapali,HI,Kaanapali
12147,Jackson,MS,Hawkins Field
12148,Phuket,Thailand,Phuket International
12149,Hickory,NC,Hickory Regional
12150,Lanseria,South Africa,Lanseria International
12151,Hailar,China,Hailar
12152,Hultsfred,Sweden,Hultsfred
12153,Wheeling,WV,Wheeling Ohio County
12154,Hollister,CA,Hollister Municipal
12155,Holland,MI,Park Township
12156,Helena,MT,Helena Regional
12157,Holbrook,AZ,Holbrook Municipal
12158,Jakarta,Indonesia,Halim Perdanakusuma International
12159,Hamilton,Australia,Hamilton
12160,Hamilton,New Zealand,Hamilton
12162,Hassi Messaoud,Algeria,Krim Belkacem
12163,Alamogordo,NM,Holloman AFB
12164,Hermosillo,Mexico,General Ignacio P. Garcia International
12165,Homeshore,AK,Homeshore
12166,Hemet,CA,Hemet-Ryan
12167,Hanamaki,Japan,Hanamaki
12168,Hatteras,NC,Billy Mitchell
12169,Tokyo,Japan,Tokyo International
12170,Hienghene,New Caledonia,Hienghene/Henri Martinet
12171,Hoonah,AK,Hoonah
12173,Honolulu,HI,Daniel K Inouye International
12174,Hana,HI,Hana
12175,Haines,AK,Haines
12177,Hobbs,NM,Lea County Regional
12178,Hodeidah,Yemen,Hodeidah International
12179,Hofuf,Saudi Arabia,Al Ahsa
12180,Holguin,Cuba,Frank Pais International
12181,Hao Island,French Polynesia,Hao
12182,Hooker Creek,Australia,Hooker Creek
12183,Holikachuk,AK,Holikachuk
12184,Homer,AK,Homer
12185,Huron,SD,Huron Regional
12187,Hopkinsville,KY,Campbell AAF
12188,Hof,Germany,Hof Plauen
12189,Horta,Portugal,Horta
12190,Hot Springs,AR,Memorial Field
12191,Houston,TX,William P Hobby
12192,Orsta/Volda,Norway,Hovden
12193,Balboa,Panama,Panama Pacifico International
12194,Lifuka,Tonga,Salote Pilolevu
12195,Hooper Bay,AK,Hooper Bay
12196,Hai Phong,Vietnam,Catbi International
12197,White Plains,NY,Westchester County
12198,Hampton,IA,Hampton Municipal
12199,Hanalei,HI,Princeville
12200,Hoquiam,WA,Bowerman
12201,Harbin,China,Taiping
12203,Harare,Zimbabwe,Robert Gabriel Mugabe International
12204,Hurghada,Egypt,Hurghada International
12205,Kharkov,Ukraine,Kharkov
12206,Harlingen/San Benito,TX,Valley International
12207,Harrison,AR,Boone County
12209,Harrogate,United Kingdom,Linton-On-Ouse
12210,Shaoguan,China,Shaoguan
12211,Las Vegas,NV,Henderson Executive
12212,Hastings,NE,Hastings Municipal
12213,Huesca,Spain,Huesca
12214,Huslia,AK,Huslia
12215,Hot Springs,VA,Ingalls Field
12216,Homestead,FL,Homestead ARB
12217,Huntsville,AL,Huntsville International-Carl T Jones Field
12218,Chita,Russia,Kadala
